[08-10-24 12:16:56.484] LOG  : General     , 1728382616484> 0> RuggedRecipes.BakedPotato: DisplayCategory, FoodP.
[08-10-24 12:16:56.485] LOG  : General     , 1728382616485> 0> RuggedRecipes.HoochMash: DisplayCategory, FoodP.
[08-10-24 12:16:56.485] LOG  : General     , 1728382616485> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[08-10-24 12:16:56.485] LOG  : General     , 1728382616485> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[08-10-24 12:16:56.485] LOG  : General     , 1728382616485> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[08-10-24 12:16:56.494] LOG  : General     , 1728382616494> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.JarredSauerkrautOpen: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.KentuckyKimchiBowl: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.PreparedOrange: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.PreparedCherry: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.PreparedLime: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.DriedPeach: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.PreparedStrawberries: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.PreparedPineapple: DisplayCategory, FoodP.
[08-10-24 12:16:56.495] LOG  : General     , 1728382616495> 0> RuggedRecipes.JarredPicklesReady: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.CannedCucumber: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.DriedWatermelon: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.JarredSauerkrautReady: DisplayCategory, FoodN.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.PreparedLemon: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.FermentingBerryWine: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.DriedGrapes: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.DriedGrapefruit: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.DriedStrawberries: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.PreparedMango: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.ReadyHoochMash: DisplayCategory, FoodN.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.Biltong: DisplayCategory, FoodN.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.ReadyKvass: DisplayCategory, FoodN.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.FermentingKvass: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> RuggedRecipes.PreparedPear: DisplayCategory, FoodP.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> SapphCooking.TequilaWaterFull: DisplayCategory, FoodB.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> SapphCooking.RumEmpty: DisplayCategory, Container.
[08-10-24 12:16:56.496] LOG  : General     , 1728382616496> 0> SapphCooking.Wooden_CheeseMolds: DisplayCategory, Container.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.Plate_HuevosRancherosEvolved: DisplayCategory, FoodP.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.PipingBag_PastryDough: DisplayCategory, FoodN.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.InstantNoodles_Chicken: DisplayCategory, FoodN.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.GinEmpty: DisplayCategory, Container.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.Pot_CheesePreparation: DisplayCategory, FoodP.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.SaucepanwithMeltedWhiteChocolate: DisplayCategory, FoodN.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.Wooden_CheeseMolds_Water: DisplayCategory, FoodB.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.Wooden_CheeseMoldsCurds: DisplayCategory, Container.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.WoodenSkewersInsect: DisplayCategory, FoodN.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.VodkaWaterFull: DisplayCategory, FoodB.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.BakingTray_Gingerbread_Man: DisplayCategory, FoodP.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.PipingBag_Icing: DisplayCategory, FoodP.
[08-10-24 12:16:56.497] LOG  : General     , 1728382616497> 0> SapphCooking.SaucepanWhiteChocolate: DisplayCategory, FoodP.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.PlateFancy_HuevosRancherosEvolved: DisplayCategory, FoodP.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.CakeSlice_Carrot: DisplayCategory, FoodP.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.Cured_EggYolk: DisplayCategory, FoodN.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.CakeSlice_BlackForest: DisplayCategory, FoodP.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.WoodenSkewersMarshmallows: DisplayCategory, FoodN.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.Bowl_Sorbet: DisplayCategory, FoodP.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.Bucket_CheeseCurds: DisplayCategory, FoodP.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.PopBottlewithProteinShake: DisplayCategory, FoodP.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.HomemadeSauce_Evolved: DisplayCategory, FoodN.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.PlateBlue_HuevosRancherosEvolved: DisplayCategory, FoodP.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.BowlShavedIce: DisplayCategory, FoodN.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.RumWaterFull: DisplayCategory, FoodB.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.CakeSlice_Birthday: DisplayCategory, FoodP.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.BowlShavedIceEvolved: DisplayCategory, FoodN.
[08-10-24 12:16:56.498] LOG  : General     , 1728382616498> 0> SapphCooking.PipingBag_PastryCream: DisplayCategory, FoodN.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.CakeSlice_Chocolate: DisplayCategory, FoodP.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.InstantNoodles_Beef: DisplayCategory, FoodN.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.FullWaterThermos: DisplayCategory, FoodB.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.CakeSlice_RedVelvet: DisplayCategory, FoodP.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.TequilaEmpty: DisplayCategory, Container.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.LiqueurEmpty: DisplayCategory, Container.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.SaucepanHotChocolate: DisplayCategory, FoodP.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.Pot_Cheese: DisplayCategory, FoodP.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.CrackersEvolved: DisplayCategory, FoodN.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.SaucepanwithArborioRice: DisplayCategory, FoodP.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.ArrozConLecheBowl: DisplayCategory, FoodP.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.BananaBread_Dough: DisplayCategory, FoodN.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.WoodenSkewersMarshmallows_Melted: DisplayCategory, FoodN.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.Wooden_CheeseMoldsBlue: DisplayCategory, FoodP.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.VodkaEmpty: DisplayCategory, Container.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.BakingTray_Eclair: DisplayCategory, FoodP.
[08-10-24 12:16:56.499] LOG  : General     , 1728382616499> 0> SapphCooking.PlateOrange_HuevosRancherosEvolved: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.WaterColaBottle: DisplayCategory, FoodB.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.CocktailMixerPrep: DisplayCategory, FoodN.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.ChurrosChocolateEvolved: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.MRE_InChickenStrogonoff: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.SakeWaterFull: DisplayCategory, FoodB.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.Bucket_CheeseBlue: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.CrabStick: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.SakeEmpty: DisplayCategory, Container.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.Sapph_DoughnutChocolate: DisplayCategory, FoodN.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.BakingTray_Gingerbread_Wall: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.Bucket_Cheese: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.SmashBurger: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.Pot_CheeseBlue: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.IceTrayWater: DisplayCategory, FoodB.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.BowlofQueso: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.Pot_CheeseCurds: DisplayCategory, FoodP.
[08-10-24 12:16:56.500] LOG  : General     , 1728382616500> 0> SapphCooking.Saucepan_Custard_Cooked: DisplayCategory, FoodP.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.GrahamCrackersEvolved: DisplayCategory, FoodN.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.MochiPrep: DisplayCategory, FoodN.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.CachacaEmpty: DisplayCategory, Container.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.IceCubes: DisplayCategory, FoodN.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.Stuffed_BellPepper: DisplayCategory, FoodP.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.LowballGlassMoscowMule: DisplayCategory, FoodN.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.LiqueurWaterFull: DisplayCategory, FoodB.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.Wooden_CheeseMoldsFull: DisplayCategory, FoodP.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.GinWaterFull: DisplayCategory, FoodB.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.ChurrosPlainEvolved: DisplayCategory, FoodP.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.WokPan_YakisobaEvolved: DisplayCategory, FoodN.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.PoutineBowlEvolved: DisplayCategory, FoodP.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.PackofCandyCigarretes: DisplayCategory, FoodN.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.Saucepan_InstantNoodles: DisplayCategory, FoodP.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.CakeSlice_Strawberry: DisplayCategory, FoodP.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.CachacaWaterFull: DisplayCategory, FoodB.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.ColaBottleEmpty: DisplayCategory, Container.
[08-10-24 12:16:56.501] LOG  : General     , 1728382616501> 0> SapphCooking.Bowl_Puree: DisplayCategory, FoodP.
[08-10-24 12:16:56.502] LOG  : General     , 1728382616502> 0> SAPPHEATER.HeaterMag1: DisplayCategory, LitR.
[08-10-24 12:16:56.502] LOG  : General     , 1728382616502> 0> SAPPHEATER.HeaterMag2: DisplayCategory, LitR.
