[29-09-24 19:30:37.572] LOG  : General     , 1727631037572> 0> Tsarcraft.VinylMaxPayne: DisplayCategory, MediaA.
[29-09-24 19:30:37.572] LOG  : General     , 1727631037572> 0> Tsarcraft.VinylThurlRavenscroftYoureAMeanOneMrGrinch(1966): DisplayCategory, MediaA.
[29-09-24 19:30:37.572] LOG  : General     , 1727631037572> 0> Tsarcraft.VinylACDCHighwayToHell(1979): DisplayCategory, MediaA.
[29-09-24 19:30:37.572] LOG  : General     , 1727631037572> 0> Tsarcraft.CassetteDeadOrAliveYouSpinMeRound(1984): DisplayCategory, MediaA.
[29-09-24 19:30:37.572] LOG  : General     , 1727631037572> 0> Tsarcraft.VinylGeneAutryFrostyTheSnowMan(1951): DisplayCategory, MediaA.
[29-09-24 19:30:37.573] LOG  : General     , 1727631037573> 0> Tsarcraft.VinylBobbyDarinBrandNewHouse(1958): DisplayCategory, MediaA.
[29-09-24 19:30:37.573] LOG  : General     , 1727631037573> 0> Tsarcraft.CassetteKissIWasMadeForLovinYou(1979): DisplayCategory, MediaA.
[29-09-24 19:30:37.573] LOG  : General     , 1727631037573> 0> Tsarcraft.CassetteScottMcKenzieSanFrancisco(1967): DisplayCategory, MediaA.
[29-09-24 19:30:37.573] LOG  : General     , 1727631037573> 0> Tsarcraft.CassetteMixTapeEDM: DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteAlabamaChristmasInDixie(1985): DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteJoseFelicianoFelizNavidad(1970): DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteSurvivorEyeOfTheTiger(1982): DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteAwoo: DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteDollyPartonHardCandyChristmas(1982): DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteMixTapeNightcoreC: DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteMixTapeNightcoreB: DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteMixTapeNightcoreA: DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.VinylInochiNoNamae: DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteMainTheme: DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteJourneyDontStopBelievin(1981): DisplayCategory, MediaA.
[29-09-24 19:30:37.574] LOG  : General     , 1727631037574> 0> Tsarcraft.CassetteBoneyMRasputin(1978): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.VinylElvisPresleyBlueChristmas(1957): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.VinylRighteousBrothersUnchainedMelody(1965): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.CassetteJonaLewieStopTheCavalry(1978): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.CassetteMixTapeBabyMetal: DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.CassetteMixTapeHoloLive: DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.CassetteBonnieTylerHoldingOutForAHero(1984): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.CassetteBonnieTylerTotalEclipseOfTheHeart(1983): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.CassetteOnABoat: DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.VinylBingCrosbyWinterWonderland(1945): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.CassetteBryanAdamsIDoItForYou(1991): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.VinylBlondieHeartOfGlass(1976): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.VinylAlabamaChristmasInDixie(1985): DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> Tsarcraft.VinylSoWhat: DisplayCategory, MediaA.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> damnCraft.RimSchematics: DisplayCategory, LitR.
[29-09-24 19:30:37.575] LOG  : General     , 1727631037575> 0> damnCraft.BodyworkSchematics: DisplayCategory, LitR.
