[12-10-24 09:12:18.958] LOG  : General     , 1728717138958> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[12-10-24 09:12:18.958] LOG  : General     , 1728717138958> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[12-10-24 09:12:18.958] LOG  : General     , 1728717138958> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[12-10-24 09:12:18.959] LOG  : General     , 1728717138959> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[12-10-24 09:12:18.959] LOG  : General     , 1728717138959> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[12-10-24 09:12:18.970] LOG  : General     , 1728717138970> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.JarredSauerkrautOpen: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.KentuckyKimchiBowl: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.PreparedOrange: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.PreparedCherry: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.PreparedLime: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.DriedPeach: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.PreparedStrawberries: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.PreparedPineapple: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.JarredPicklesReady: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.CannedCucumber: DisplayCategory, FoodP.
[12-10-24 09:12:18.971] LOG  : General     , 1728717138971> 0> RuggedRecipes.DriedWatermelon: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.JarredSauerkrautReady: DisplayCategory, FoodN.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.PreparedLemon: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.FermentingBerryWine: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.DriedGrapes: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.DriedGrapefruit: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.DriedStrawberries: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.PreparedMango: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.ReadyHoochMash: DisplayCategory, FoodN.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.Biltong: DisplayCategory, FoodN.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.ReadyKvass: DisplayCategory, FoodN.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.FermentingKvass: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> RuggedRecipes.PreparedPear: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> SapphCooking.TequilaWaterFull: DisplayCategory, FoodB.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> SapphCooking.RumEmpty: DisplayCategory, Container.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> SapphCooking.Wooden_CheeseMolds: DisplayCategory, Container.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> SapphCooking.Plate_HuevosRancherosEvolved: DisplayCategory, FoodP.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> SapphCooking.PipingBag_PastryDough: DisplayCategory, FoodN.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> SapphCooking.InstantNoodles_Chicken: DisplayCategory, FoodN.
[12-10-24 09:12:18.972] LOG  : General     , 1728717138972> 0> SapphCooking.GinEmpty: DisplayCategory, Container.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.Pot_CheesePreparation: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.SaucepanwithMeltedWhiteChocolate: DisplayCategory, FoodN.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.Wooden_CheeseMolds_Water: DisplayCategory, FoodB.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.Wooden_CheeseMoldsCurds: DisplayCategory, Container.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.WoodenSkewersInsect: DisplayCategory, FoodN.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.VodkaWaterFull: DisplayCategory, FoodB.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.BakingTray_Gingerbread_Man: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.PipingBag_Icing: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.SaucepanWhiteChocolate: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.PlateFancy_HuevosRancherosEvolved: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.CakeSlice_Carrot: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.Cured_EggYolk: DisplayCategory, FoodN.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.CakeSlice_BlackForest: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.WoodenSkewersMarshmallows: DisplayCategory, FoodN.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.Bowl_Sorbet: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.Bucket_CheeseCurds: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.PopBottlewithProteinShake: DisplayCategory, FoodP.
[12-10-24 09:12:18.973] LOG  : General     , 1728717138973> 0> SapphCooking.HomemadeSauce_Evolved: DisplayCategory, FoodN.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.PlateBlue_HuevosRancherosEvolved: DisplayCategory, FoodP.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.BowlShavedIce: DisplayCategory, FoodN.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.RumWaterFull: DisplayCategory, FoodB.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.CakeSlice_Birthday: DisplayCategory, FoodP.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.BowlShavedIceEvolved: DisplayCategory, FoodN.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.PipingBag_PastryCream: DisplayCategory, FoodN.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.CakeSlice_Chocolate: DisplayCategory, FoodP.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.InstantNoodles_Beef: DisplayCategory, FoodN.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.FullWaterThermos: DisplayCategory, FoodB.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.CakeSlice_RedVelvet: DisplayCategory, FoodP.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.TequilaEmpty: DisplayCategory, Container.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.LiqueurEmpty: DisplayCategory, Container.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.SaucepanHotChocolate: DisplayCategory, FoodP.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.Pot_Cheese: DisplayCategory, FoodP.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.CrackersEvolved: DisplayCategory, FoodN.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.SaucepanwithArborioRice: DisplayCategory, FoodP.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.ArrozConLecheBowl: DisplayCategory, FoodP.
[12-10-24 09:12:18.974] LOG  : General     , 1728717138974> 0> SapphCooking.BananaBread_Dough: DisplayCategory, FoodN.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.WoodenSkewersMarshmallows_Melted: DisplayCategory, FoodN.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.Wooden_CheeseMoldsBlue: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.VodkaEmpty: DisplayCategory, Container.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.BakingTray_Eclair: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.PlateOrange_HuevosRancherosEvolved: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.WaterColaBottle: DisplayCategory, FoodB.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.CocktailMixerPrep: DisplayCategory, FoodN.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.ChurrosChocolateEvolved: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.MRE_InChickenStrogonoff: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.SakeWaterFull: DisplayCategory, FoodB.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.Bucket_CheeseBlue: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.CrabStick: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.SakeEmpty: DisplayCategory, Container.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.Sapph_DoughnutChocolate: DisplayCategory, FoodN.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.BakingTray_Gingerbread_Wall: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.Bucket_Cheese: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.SmashBurger: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.Pot_CheeseBlue: DisplayCategory, FoodP.
[12-10-24 09:12:18.975] LOG  : General     , 1728717138975> 0> SapphCooking.IceTrayWater: DisplayCategory, FoodB.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.BowlofQueso: DisplayCategory, FoodP.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.Pot_CheeseCurds: DisplayCategory, FoodP.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.Saucepan_Custard_Cooked: DisplayCategory, FoodP.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.GrahamCrackersEvolved: DisplayCategory, FoodN.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.MochiPrep: DisplayCategory, FoodN.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.CachacaEmpty: DisplayCategory, Container.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.IceCubes: DisplayCategory, FoodN.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.Stuffed_BellPepper: DisplayCategory, FoodP.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.LowballGlassMoscowMule: DisplayCategory, FoodN.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.LiqueurWaterFull: DisplayCategory, FoodB.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.Wooden_CheeseMoldsFull: DisplayCategory, FoodP.
[12-10-24 09:12:18.976] LOG  : General     , 1728717138976> 0> SapphCooking.GinWaterFull: DisplayCategory, FoodB.
