[05-10-24 22:04:58.984] LOG  : General     , 1728158698984> 0> RuggedRecipes.BakedPotato: DisplayCategory, FoodP.
[05-10-24 22:04:58.984] LOG  : General     , 1728158698984> 0> RuggedRecipes.HoochMash: DisplayCategory, FoodP.
[05-10-24 22:04:58.984] LOG  : General     , 1728158698984> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[05-10-24 22:04:58.985] LOG  : General     , 1728158698985> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[05-10-24 22:04:58.985] LOG  : General     , 1728158698985> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[05-10-24 22:04:58.995] LOG  : General     , 1728158698995> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[05-10-24 22:04:58.996] LOG  : General     , 1728158698996> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[05-10-24 22:04:58.996] LOG  : General     , 1728158698996> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[05-10-24 22:04:58.996] LOG  : General     , 1728158698996> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[05-10-24 22:04:58.996] LOG  : General     , 1728158698996> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[05-10-24 22:04:58.996] LOG  : General     , 1728158698996> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[05-10-24 22:04:58.996] LOG  : General     , 1728158698996> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
