[11-10-24 20:26:38.160] LOG  : General     , 1728671198160> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[11-10-24 20:26:38.160] LOG  : General     , 1728671198160> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[11-10-24 20:26:38.160] LOG  : General     , 1728671198160> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[11-10-24 20:26:38.160] LOG  : General     , 1728671198160> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[11-10-24 20:26:38.160] LOG  : General     , 1728671198160> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[11-10-24 20:26:38.169] LOG  : General     , 1728671198169> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[11-10-24 20:26:38.169] LOG  : General     , 1728671198169> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[11-10-24 20:26:38.169] LOG  : General     , 1728671198169> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[11-10-24 20:26:38.169] LOG  : General     , 1728671198169> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[11-10-24 20:26:38.169] LOG  : General     , 1728671198169> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[11-10-24 20:26:38.169] LOG  : General     , 1728671198169> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[11-10-24 20:26:38.169] LOG  : General     , 1728671198169> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[11-10-24 20:26:38.169] LOG  : General     , 1728671198169> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[11-10-24 20:26:38.170] LOG  : General     , 1728671198170> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[11-10-24 20:26:38.170] LOG  : General     , 1728671198170> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[11-10-24 20:26:38.170] LOG  : General     , 1728671198170> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[11-10-24 20:26:38.170] LOG  : General     , 1728671198170> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[11-10-24 20:26:38.170] LOG  : General     , 1728671198170> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[11-10-24 20:26:38.170] LOG  : General     , 1728671198170> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
