[10-10-24 12:32:40.820] LOG  : General     , 1728556360820> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[10-10-24 12:32:40.820] LOG  : General     , 1728556360820> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[10-10-24 12:32:40.820] LOG  : General     , 1728556360820> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[10-10-24 12:32:40.821] LOG  : General     , 1728556360821> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.JarredSauerkrautOpen: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.KentuckyKimchiBowl: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.PreparedOrange: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.PreparedCherry: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.PreparedLime: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.DriedPeach: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.PreparedStrawberries: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.PreparedPineapple: DisplayCategory, FoodP.
[10-10-24 12:32:40.822] LOG  : General     , 1728556360822> 0> RuggedRecipes.JarredPicklesReady: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.CannedCucumber: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.DriedWatermelon: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.JarredSauerkrautReady: DisplayCategory, FoodN.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.PreparedLemon: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.FermentingBerryWine: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.DriedGrapes: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.DriedGrapefruit: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.DriedStrawberries: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.PreparedMango: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.ReadyHoochMash: DisplayCategory, FoodN.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.Biltong: DisplayCategory, FoodN.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.ReadyKvass: DisplayCategory, FoodN.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.FermentingKvass: DisplayCategory, FoodP.
[10-10-24 12:32:40.823] LOG  : General     , 1728556360823> 0> RuggedRecipes.PreparedPear: DisplayCategory, FoodP.
