[10-10-24 06:15:07.965] LOG  : General     , 1728533707965> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[10-10-24 06:15:07.965] LOG  : General     , 1728533707965> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[10-10-24 06:15:07.965] LOG  : General     , 1728533707965> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[10-10-24 06:15:07.965] LOG  : General     , 1728533707965> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[10-10-24 06:15:07.965] LOG  : General     , 1728533707965> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[10-10-24 06:15:07.966] LOG  : General     , 1728533707966> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[10-10-24 06:15:07.967] LOG  : General     , 1728533707967> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[10-10-24 06:15:07.967] LOG  : General     , 1728533707967> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[10-10-24 06:15:07.967] LOG  : General     , 1728533707967> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[10-10-24 06:15:07.967] LOG  : General     , 1728533707967> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[10-10-24 06:15:07.967] LOG  : General     , 1728533707967> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
